locus,population,tested_population,known_relationship,median_log10_ratio,mean_log10_ratio,sd_log10_ratio,ci_lower,ci_upper,n_pairs,locus_rank
D19S433,AfAm,Cauc,cousins,0,0.0304163851097091,0.14934236417964,-0.0650865644056907,0.564439403552977,20000,1
D1S1656,AfAm,Cauc,cousins,0,0.0188008100155035,0.0637111032859284,-0.113903437368901,0.173446676399404,20000,1
D21S11,AfAm,Cauc,cousins,0,0.0109112418819144,0.0812639926355939,-0.0547676464513185,0.241987390082621,20000,1
D22S1045,AfAm,Cauc,cousins,0,0.0199851111075208,0.10163666426277,-0.035633520165891,0.237735057592961,20000,1
D2S1338,AfAm,Cauc,cousins,0,0.0178892226980791,0.0714563709630674,-0.0551974675191711,0.207472919443171,20000,1
D2S441,AfAm,Cauc,cousins,0,0.012625059280027,0.0538926387563177,-0.0845965065929545,0.16011991673263,20000,1
D3S1358,AfAm,Cauc,cousins,0,0.00321732499874193,0.0233065450950651,-0.0188236120540734,0.0260655166854495,20000,1
D5S818,AfAm,Cauc,cousins,0,0.00797066546989716,0.064850727350225,-0.0363067621462799,0.0559393050344212,20000,1
D6S1043,AfAm,Cauc,cousins,0,0.00789238480562665,0.0572854351039276,-0.0414313263720352,0.150895833033195,20000,1
D7S820,AfAm,Cauc,cousins,0,0.00455034029282194,0.0258246837568926,-0.0604774422357626,0.0565699874796752,20000,1
D8S1179,AfAm,Cauc,cousins,0,0.0105822748949729,0.0386821869286916,-0.0372711845823671,0.0887114819277789,20000,1
F13A01,AfAm,Cauc,cousins,0,0.0294564624863888,0.134918180298147,-0.065167943369926,0.206041394489121,20000,1
F13B,AfAm,Cauc,cousins,0,0.0572384687217863,0.126200682940697,-0.0682652076106969,0.4144924530105,20000,1
FESFPS,AfAm,Cauc,cousins,0,0.01636677264737,0.115425223493201,-0.0217874504051169,0.252762605788662,20000,1
FGA,AfAm,Cauc,cousins,0,0.0084008342736578,0.0678695478687422,-0.0317232844770141,0.193717222256158,20000,1
LPL,AfAm,Cauc,cousins,0,0.0121308020074976,0.0636629114018918,-0.0547145114187419,0.178176453412317,20000,1
Penta_C,AfAm,Cauc,cousins,0,0.0111885975327689,0.08484561782485,-0.0460610868553884,0.194887745009728,20000,1
Penta_D,AfAm,Cauc,cousins,0,0.0574096790140659,0.21215698605273,-0.0824353232694329,0.863729242780147,20000,1
Penta_E,AfAm,Cauc,cousins,0,0.0408000509098971,0.143953468885285,-0.0588418808896324,0.469388804488972,20000,1
SE33,AfAm,Cauc,cousins,0,0.0125579218164625,0.0574616870284156,-0.123673976073725,0.145445860544546,20000,1
TH01,AfAm,Cauc,cousins,0,0.0191289682137732,0.0410982426868337,-0.0939669309283897,0.107388184605339,20000,1
TPOX,AfAm,Cauc,cousins,0,0.036568922067794,0.212345181304186,-0.0216277243659584,1.23568212784638,20000,1
vWA,AfAm,Cauc,cousins,0,0.00480454977787014,0.0362047300215593,-0.02899629023542,0.057385056032664,20000,1
