db_size,db_size_num,true_relationship,tested_relationship,loci_set,threshold,n,k,prop,ci_lo,ci_hi
20k,20000,Half Siblings,Parent-Child,Expanded 20,Top 100,10000,8,8e-4,4.054288421193391e-4,0.0015779692156827755
100k,100000,Half Siblings,Parent-Child,Expanded 20,Top 100,10000,8,8e-4,4.054288421193391e-4,0.0015779692156827755
10k,10000,Half Siblings,Parent-Child,Expanded 20,Top 200,10000,8,8e-4,4.054288421193391e-4,0.0015779692156827755
20k,20000,Half Siblings,Parent-Child,Expanded 20,Top 200,10000,8,8e-4,4.054288421193391e-4,0.0015779692156827755
100k,100000,Half Siblings,Parent-Child,Expanded 20,Top 200,10000,8,8e-4,4.054288421193391e-4,0.0015779692156827755
10k,10000,Half Siblings,Full Siblings,Core 13,Top 10,10000,5600,0.56,0.550249616068441,0.5697043024342271
20k,20000,Half Siblings,Full Siblings,Core 13,Top 10,10000,5003,0.5003,0.4905017684010619,0.5100980011914514
100k,100000,Half Siblings,Full Siblings,Core 13,Top 10,10000,3731,0.3731,0.3636713102793646,0.3826261520874924
10k,10000,Half Siblings,Full Siblings,Core 13,Top 50,10000,7005,0.7005,0.69144683426624,0.7093991767301756
20k,20000,Half Siblings,Full Siblings,Core 13,Top 50,10000,6446,0.6446,0.6351648756165882,0.6539240679748417
100k,100000,Half Siblings,Full Siblings,Core 13,Top 50,10000,5023,0.5023,0.492501102237952,0.5120971313046503
10k,10000,Half Siblings,Full Siblings,Core 13,Top 100,10000,7584,0.7584,0.749911954953313,0.766689587398177
20k,20000,Half Siblings,Full Siblings,Core 13,Top 100,10000,7020,0.702,0.6929591771967256,0.7108856817622566
100k,100000,Half Siblings,Full Siblings,Core 13,Top 100,10000,5616,0.5616,0.5518528413156092,0.5712998483471299
10k,10000,Half Siblings,Full Siblings,Core 13,Top 200,10000,8135,0.8135,0.805745740046591,0.8210134841298493
20k,20000,Half Siblings,Full Siblings,Core 13,Top 200,10000,7608,0.7608,0.752339591708904,0.769060107382693
100k,100000,Half Siblings,Full Siblings,Core 13,Top 200,10000,6230,0.623,0.6134556287031344,0.6324499042273349
10k,10000,Half Siblings,Full Siblings,Expanded 20,Top 10,10000,7810,0.781,0.7727869858186558,0.7889971991688394
20k,20000,Half Siblings,Full Siblings,Expanded 20,Top 10,10000,7364,0.7364,0.7276749367012164,0.7449435021992957
100k,100000,Half Siblings,Full Siblings,Expanded 20,Top 10,10000,6204,0.6204,0.6108438463487815,0.6298636834465721
10k,10000,Half Siblings,Full Siblings,Expanded 20,Top 50,10000,8804,0.8804,0.8738933984595498,0.8866144448473652
20k,20000,Half Siblings,Full Siblings,Expanded 20,Top 50,10000,8433,0.8433,0.8360433702275956,0.85029296680517
100k,100000,Half Siblings,Full Siblings,Expanded 20,Top 50,10000,7385,0.7385,0.7297963276870183,0.7470204983610871
10k,10000,Half Siblings,Full Siblings,Expanded 20,Top 100,10000,9121,0.9121,0.9063908293900542,0.9174926675257706
20k,20000,Half Siblings,Full Siblings,Expanded 20,Top 100,10000,8803,0.8803,0.8737911418181286,0.8865167782912822
100k,100000,Half Siblings,Full Siblings,Expanded 20,Top 100,10000,7859,0.7859,0.7777511530429696,0.7938292686222436
10k,10000,Half Siblings,Full Siblings,Expanded 20,Top 200,10000,9399,0.9399,0.9350705333107975,0.9443916125112634
20k,20000,Half Siblings,Full Siblings,Expanded 20,Top 200,10000,9134,0.9134,0.9077275610241651,0.9187549374592174
100k,100000,Half Siblings,Full Siblings,Expanded 20,Top 200,10000,8295,0.8295,0.8220027963382609,0.8367441394388909
